Angle,Intensity 1
27.98328679,0.025684932
28.01533997,0.029109589
28.04739519,0.029109589
28.07945247,0.02739726
28.11151183,0.008561644
28.14357329,0.04109589
28.17563686,0.022260274
28.20770256,0.022260274
28.23977041,0.037671233
28.27184043,0.02739726
28.30391264,0.029109589
28.33598704,0.02739726
28.36806367,0.020547945
28.40014253,0.022260274
28.43222364,0.022260274
28.46430703,0.022260274
28.4963927,0.029109589
28.52848069,0.032534247
28.56057099,0.04109589
28.59266364,0.017123288
28.62475865,0.020547945
28.65685603,0.039383562
28.68895581,0.023972603
28.721058,0.029109589
28.75316262,0.029109589
28.78526969,0.025684932
28.81737922,0.015410959
28.84949123,0.02739726
28.88160574,0.029109589
28.91372277,0.034246575
28.94584233,0.047945205
28.97796444,0.032534247
29.01008912,0.018835616
29.04221639,0.025684932
29.07434626,0.017123288
29.10647875,0.025684932
29.13861389,0.011986301
29.17075167,0.023972603
29.20289205,0.02739726
29.23503493,0.029109589
29.26718022,0.020547945
29.2993278,0.022260274
29.3314776,0.022260274
29.3636295,0.017123288
29.3957834,0.017123288
29.42793922,0.020547945
29.46009684,0.02739726
29.49225618,0.02739726
29.52441713,0.020547945
29.55657959,0.025684932
29.58874347,0.020547945
29.62090867,0.011986301
29.65307509,0.023972603
29.68524263,0.023972603
29.71741119,0.030821918
29.74958067,0.025684932
29.78175098,0.022260274
29.81392201,0.034246575
29.84609367,0.020547945
29.87826586,0.02739726
29.91043848,0.022260274
29.94261143,0.030821918
29.97478462,0.015410959
30.00695794,0.039383562
30.03913129,0.020547945
30.07130458,0.020547945
30.10347772,0.022260274
30.13565059,0.035958904
30.1678231,0.018835616
30.19999516,0.022260274
30.23216666,0.023972603
30.26433751,0.034246575
30.2965076,0.020547945
30.32867685,0.02739726
30.36084514,0.020547945
30.39301239,0.035958904
30.42517849,0.022260274
30.45734334,0.017123288
30.48950685,0.030821918
30.52166892,0.023972603
30.55382944,0.022260274
30.58598833,0.034246575
30.61814547,0.023972603
30.65030078,0.030821918
30.68245416,0.020547945
30.7146055,0.030821918
30.74675471,0.02739726
30.77890169,0.025684932
30.81104633,0.023972603
30.84318855,0.032534247
30.87532824,0.034246575
30.90746531,0.020547945
30.93959965,0.030821918
30.97173117,0.022260274
31.00385977,0.018835616
31.03598535,0.018835616
