iter	RMSE
0	2.265477787
1	2.254995083
2	2.244750819
3	2.234955358
4	2.218341294
5	2.208713701
6	2.199307809
7	2.19345107
8	2.184895429
9	2.176045556
10	2.164744154
11	2.157127828
12	2.148784812
13	2.140637599
14	2.129760206
15	2.121913893
16	2.114293246
17	2.105959827
18	2.091407362
19	2.080022196
20	2.073400775
21	2.066505912
22	2.059947417
23	2.049778473
24	2.044038554
25	2.03553848
26	2.030041739
27	2.020447763
28	2.014412555
29	2.008523992
30	2.002778869
31	1.996526627
32	1.991464368
33	1.989635528
34	1.984354007
35	1.974416093
36	1.968755569
37	1.963303503
38	1.954578753
39	1.949845626
40	1.945579911
41	1.936167186
42	1.932074407
43	1.922860172
44	1.918610989
45	1.914445326
46	1.90927974
47	1.897976219
48	1.893583586
49	1.887394385
50	1.878377532
51	1.872070022
52	1.864538395
53	1.860140221
54	1.856655199
55	1.84859937
56	1.841474244
57	1.833412506
58	1.830115926
59	1.824291037
60	1.818336442
61	1.811271073
62	1.804762439
63	1.800160692
64	1.792447647
65	1.789504968
66	1.786637405
67	1.783843144
68	1.780791253
69	1.778393962
70	1.770320944
71	1.76301496
72	1.755818029
73	1.754564917
74	1.747498359
75	1.745431208
76	1.74133553
77	1.734432926
78	1.731873663
79	1.729659364
80	1.722570054
81	1.718218208
82	1.7115923
83	1.709513505
84	1.702602086
85	1.696179199
86	1.694199661
87	1.693012601
88	1.688388072
89	1.680669576
90	1.674447038
91	1.669031205
92	1.667229252
93	1.665492246
94	1.657830587
95	1.65192287
96	1.64743884
97	1.645818024
98	1.644226592
99	1.639405905
100	1.638056383
101	1.633855615
102	1.628273723
103	1.622777548
104	1.615486368
105	1.610322891
106	1.605238062
107	1.59860526
108	1.597345952
109	1.590546238
110	1.583490086
111	1.582300496
112	1.577146107
113	1.573282434
114	1.568492756
115	1.563476323
116	1.558537976
117	1.554791037
118	1.551384845
119	1.548417564
120	1.543601341
121	1.542597715
122	1.539285554
123	1.53457398
124	1.529936173
125	1.525488796
126	1.52095739
127	1.516612632
128	1.512185285
129	1.50782778
130	1.503961387
131	1.499773895
132	1.493574438
133	1.489411323
134	1.484699287
135	1.48067893
136	1.479164336
137	1.475164018
138	1.471250535
139	1.467376513
140	1.464110326
141	1.460256121
142	1.453728328
143	1.45051978
144	1.446853939
145	1.441045551
146	1.434878067
147	1.431337459
148	1.428920561
149	1.42538437
150	1.421879292
151	1.418456319
152	1.414208195
153	1.40905906
154	1.404923661
155	1.401705088
156	1.398774536
157	1.395620187
158	1.392741249
159	1.386030681
160	1.380162693
161	1.376929315
162	1.370322109
163	1.365991758
164	1.361785267
165	1.358859607
166	1.356207685
167	1.351834965
168	1.347897924
169	1.344007932
170	1.337615242
171	1.334801386
172	1.327990712
173	1.323838976
174	1.319760552
175	1.317074534
176	1.310868627
177	1.307622236
178	1.30273354
179	1.296631135
180	1.291998916
181	1.285972152
182	1.283926986
183	1.27920873
184	1.273887597
185	1.268216237
186	1.262347463
187	1.256520218
188	1.251377593
189	1.247243463
190	1.241521381
191	1.237144734
192	1.231714732
193	1.226100123
194	1.222941847
195	1.218998045
196	1.215513612
197	1.209670133
198	1.206114369
199	1.200547823
200	1.195709093
201	1.192648202
202	1.187267069
203	1.183071437
204	1.17821368
205	1.173322837
206	1.168039135
207	1.163084851
208	1.157861903
209	1.152676402
210	1.148072518
211	1.142954842
212	1.140855862
213	1.136023973
