                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.6794,                 1.9967,                0.90934,                0.89861,                0.83622,                0.33333,                0.38696,                0.18182,                0.51451,                   0.25,                0.28028,                 0.1362,                 1.9314,                 1.1483,                 1.7277,                0.96689,               0.008911,               0.008911,               0.008911
                     24,                 1.6828,                 1.7859,                0.87921,                 0.8914,                0.59771,                    0.5,                0.43875,                 0.2103,                0.49039,                0.41667,                0.40135,                0.14893,                  1.875,                0.98791,                 1.3063,                0.93995,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5138,                 1.7256,                0.88569,                0.87978,                0.95033,                0.33333,                0.45321,                0.24501,                0.83313,                   0.25,                0.34327,                0.14445,                 1.5581,                0.91601,                 1.3876,                0.91661,               0.008812,               0.008812,               0.008812
                     26,                 1.5545,                 1.7678,                0.90283,                0.87179,                0.51338,                0.45833,                0.41902,                0.22281,                0.62914,                0.33333,                0.39725,                0.16142,                  1.642,                0.95232,                 1.6255,                0.89876,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.4986,                 1.9043,                 0.8671,                0.88672,                0.65185,                0.33333,                 0.4821,                0.25794,                0.42821,                0.20833,                0.30387,                0.16653,                 1.6234,                0.88687,                 1.5538,                0.92545,               0.008713,               0.008713,               0.008713
                     28,                 1.4792,                 1.8035,                0.86053,                0.89588,                0.63169,                0.35806,                0.43681,                0.20868,                0.55521,                0.16667,                 0.2607,                0.10481,                 1.7813,                0.94827,                 1.7816,                0.95561,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.4918,                 1.8081,                 0.8176,                0.88392,                0.63153,                0.41667,                0.47244,                0.23036,                0.79252,                   0.25,                0.36621,                0.18514,                 1.7456,                 1.0851,                 1.7883,                0.94825,               0.008614,               0.008614,               0.008614
                     30,                 1.4201,                 1.5817,                 0.8176,                0.87418,                0.79921,                  0.375,                0.49494,                0.23626,                0.53151,                   0.25,                0.29835,                 0.1424,                 1.8123,                 1.0048,                 1.5161,                0.94672,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.4904,                 1.6809,                0.79307,                0.88361,                 0.5027,                0.29167,                0.42541,                0.21433,                0.89868,                0.16667,                0.28041,                0.13826,                 1.8783,                 1.1458,                 1.9481,                0.93396,               0.008515,               0.008515,               0.008515
                     32,                 1.5153,                 1.6186,                0.88234,                0.87017,                0.65819,                0.29167,                 0.3475,                0.17763,                 0.4601,                   0.25,                0.31501,                0.11457,                 1.7638,                 1.2807,                 2.6949,                0.91713,              0.0084655,              0.0084655,              0.0084655
